[10:47:18.943] [[Server]] Log file created: server_log_20251008_104718.txt
[10:47:18.948] [[Server]] Initializing world generation...
[10:47:18.971] [[Server]] UDP listening on port 42070
[10:47:18.995] [[Server]] Listening on port 42069 @ 60 TPS
[10:47:18.995] [[Server]] Performance timing enabled - waiting for connections...
[10:47:19.017] [[Server]] Tick 0 | Cache: 0/20000
[10:47:19.441] [[Server]] Client connected: 127.0.0.1:53272
[10:47:21.182] [[Generation]] (0,0,0): Render verts=16506, Collision verts=16506
[10:47:21.194] [[Timing]] Chunk (0,0,0): Chunk=374.97ms Mesh=245.89ms Send=10.34ms Total=652.86ms
[10:47:22.183] [[Generation]] (1,0,0): Render verts=13323, Collision verts=13323
[10:47:22.187] [[Timing]] Chunk (1,0,0): Chunk=519.65ms Mesh=451.58ms Send=3.52ms Total=975.02ms
[10:47:22.220] [[Generation]] (0,0,1): Render verts=13995, Collision verts=13995
[10:47:22.226] [[Timing]] Chunk (0,0,1): Chunk=532.95ms Mesh=475.78ms Send=5.14ms Total=1014.05ms
[10:47:24.019] [[Server]] Tick 300 | Cache: 3/20000
[10:47:24.019]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:47:24.144] [Server] Rejecting position from 127.0.0.1:53385, forcing correction
[10:47:29.028] [[Server]] Tick 600 | Cache: 3/20000
[10:47:29.028]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:47:34.026] [[Server]] Tick 900 | Cache: 3/20000
[10:47:34.027]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:47:39.026] [[Server]] Tick 1200 | Cache: 3/20000
[10:47:39.026]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:47:44.023] [[Server]] Tick 1500 | Cache: 3/20000
[10:47:44.023]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:47:49.030] [[Server]] Tick 1800 | Cache: 3/20000
[10:47:49.030]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:47:54.024] [[Server]] Tick 2100 | Cache: 3/20000
[10:47:54.025]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:47:59.021] [[Server]] Tick 2400 | Cache: 3/20000
[10:47:59.022]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:04.033] [[Server]] Tick 2700 | Cache: 3/20000
[10:48:04.034]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:09.025] [[Server]] Tick 3000 | Cache: 3/20000
[10:48:09.025]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:14.030] [[Server]] Tick 3300 | Cache: 3/20000
[10:48:14.030]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:19.019] [[Server]] Tick 3600 | Cache: 3/20000
[10:48:19.020]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:24.025] [[Server]] Tick 3900 | Cache: 3/20000
[10:48:24.025]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:29.021] [[Server]] Tick 4200 | Cache: 3/20000
[10:48:29.021]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:34.030] [[Server]] Tick 4500 | Cache: 3/20000
[10:48:34.030]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:39.031] [[Server]] Tick 4800 | Cache: 3/20000
[10:48:39.031]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:44.029] [[Server]] Tick 5100 | Cache: 3/20000
[10:48:44.029]   Requests: 3 | Avg Times: Chunk=475.85ms Mesh=391.08ms Send=6.33ms Total=873.27ms
[10:48:49.035] [[Server]] Tick 5400 | Cache: 3/20000
